trial,testing,parameters,net_reward,age,success
1854,False,"{'a': 0.3, 'e': 0.054762224119348134}",-0.49999999999999994,10,0
1855,False,"{'a': 0.3, 'e': 0.05446501305110036}",0.95,2,1
1856,False,"{'a': 0.3, 'e': 0.0541693225964789}",-0.49999999999999994,10,0
1857,False,"{'a': 0.3, 'e': 0.05387514597706581}",0.95,2,1
1858,False,"{'a': 0.3, 'e': 0.05358247643376485}",-0.49999999999999994,10,0
1859,False,"{'a': 0.3, 'e': 0.0532913072268725}",0.95,2,1
1860,False,"{'a': 0.3, 'e': 0.0530016316361471}",-0.49999999999999994,10,0
1861,False,"{'a': 0.3, 'e': 0.05271344296087606}",0.95,2,1
1862,False,"{'a': 0.3, 'e': 0.052426734519941384}",0.95,2,1
1863,False,"{'a': 0.3, 'e': 0.052141499651883305}",1.0,1,1
1864,False,"{'a': 0.3, 'e': 0.05185773171496214}",-0.49999999999999994,10,0
1865,False,"{'a': 0.3, 'e': 0.051575424087218415}",-0.49999999999999994,10,0
1866,False,"{'a': 0.3, 'e': 0.051294570166531175}",1.0,1,1
1867,False,"{'a': 0.3, 'e': 0.05101516337067465}",1.0,1,1
1868,False,"{'a': 0.3, 'e': 0.05073719713737315}",1.0,1,1
1869,False,"{'a': 0.3, 'e': 0.05046066492435427}",1.0,1,1
1870,False,"{'a': 0.3, 'e': 0.0501855602094004}",1.0,1,1
1871,False,"{'a': 0.3, 'e': 0.049911876490398646}",-0.49999999999999994,10,0
1,True,"{'a': 0.3, 'e': 0.04963960728538903}",-0.49999999999999994,10,0
2,True,"{'a': 0.3, 'e': 0.04936874613261109}",-0.49999999999999994,10,0
3,True,"{'a': 0.3, 'e': 0.04909928659054887}",1.0,1,1
4,True,"{'a': 0.3, 'e': 0.04883122223797435}",0.95,2,1
5,True,"{'a': 0.3, 'e': 0.04856454667398925}",0.95,2,1
6,True,"{'a': 0.3, 'e': 0.04829925351806531}",1.0,1,1
7,True,"{'a': 0.3, 'e': 0.04803533641008301}",-0.49999999999999994,10,0
8,True,"{'a': 0.3, 'e': 0.047772789010368785}",1.0,1,1
9,True,"{'a': 0.3, 'e': 0.04751160499973072}",0.95,2,1
10,True,"{'a': 0.3, 'e': 0.04725177807949278}",-0.49999999999999994,10,0
11,True,"{'a': 0.3, 'e': 0.04699330197152752}",-0.49999999999999994,10,0
12,True,"{'a': 0.3, 'e': 0.046736170418287364}",1.0,1,1
13,True,"{'a': 0.3, 'e': 0.04648037718283444}",0.95,2,1
14,True,"{'a': 0.3, 'e': 0.046225916048869026}",1.0,1,1
15,True,"{'a': 0.3, 'e': 0.0459727808207565}",-0.49999999999999994,10,0
16,True,"{'a': 0.3, 'e': 0.04572096532355303}",0.95,2,1
17,True,"{'a': 0.3, 'e': 0.04547046340302969}",-0.49999999999999994,10,0
18,True,"{'a': 0.3, 'e': 0.045221268925695446}",1.0,1,1
19,True,"{'a': 0.3, 'e': 0.044973375778818624}",-0.49999999999999994,10,0
20,True,"{'a': 0.3, 'e': 0.04472677787044713}",-0.49999999999999994,10,0
21,True,"{'a': 0.3, 'e': 0.04448146912942733}",1.0,1,1
22,True,"{'a': 0.3, 'e': 0.04423744350542163}",1.0,1,1
23,True,"{'a': 0.3, 'e': 0.043994694968924775}",1.0,1,1
24,True,"{'a': 0.3, 'e': 0.04375321751127891}",-0.49999999999999994,10,0
25,True,"{'a': 0.3, 'e': 0.04351300514468735}",1.0,1,1
26,True,"{'a': 0.3, 'e': 0.04327405190222712}",1.0,1,1
27,True,"{'a': 0.3, 'e': 0.04303635183786026}",1.0,1,1
28,True,"{'a': 0.3, 'e': 0.042799899026443995}",-0.49999999999999994,10,0
29,True,"{'a': 0.3, 'e': 0.042564687563739594}",0.95,2,1
30,True,"{'a': 0.3, 'e': 0.042330711566420175}",-0.49999999999999994,10,0
31,True,"{'a': 0.3, 'e': 0.04209796517207719}",0.95,2,1
32,True,"{'a': 0.3, 'e': 0.04186644253922596}",0.95,2,1
33,True,"{'a': 0.3, 'e': 0.04163613784730993}",0.95,2,1
34,True,"{'a': 0.3, 'e': 0.04140704529670381}",0.95,2,1
35,True,"{'a': 0.3, 'e': 0.04117915910871572}",0.95,2,1
36,True,"{'a': 0.3, 'e': 0.04095247352558804}",0.95,2,1
37,True,"{'a': 0.3, 'e': 0.04072698281049746}",0.95,2,1
38,True,"{'a': 0.3, 'e': 0.04050268124755367}",1.0,1,1
39,True,"{'a': 0.3, 'e': 0.040279563141797245}",1.0,1,1
40,True,"{'a': 0.3, 'e': 0.0400576228191963}",0.95,2,1
41,True,"{'a': 0.3, 'e': 0.03983685462664229}",0.95,2,1
42,True,"{'a': 0.3, 'e': 0.03961725293194466}",-0.49999999999999994,10,0
43,True,"{'a': 0.3, 'e': 0.03939881212382456}",0.95,2,1
44,True,"{'a': 0.3, 'e': 0.03918152661190762}",1.0,1,1
45,True,"{'a': 0.3, 'e': 0.038965390826715636}",-0.49999999999999994,10,0
46,True,"{'a': 0.3, 'e': 0.03875039921965741}",1.0,1,1
47,True,"{'a': 0.3, 'e': 0.038536546263018584}",0.95,2,1
48,True,"{'a': 0.3, 'e': 0.03832382644995058}",0.95,2,1
49,True,"{'a': 0.3, 'e': 0.03811223429445857}",0.95,2,1
50,True,"{'a': 0.3, 'e': 0.03790176433138861}",1.0,1,1
